큐딜리온 퍼블리싱리스트,,,,,,,,,,
,,,,,,,,,,
No,Dep1,Dep2,Dep3,Dep4,폴더경로,파일이름,진행상태,시작일,종료일,진척률
107,운영,신고관리,회원/상품 처리 팝업, ,,operation06_popup03.html,완료,2018-05-15,2018-05-16,100%
108,운영,신고관리,신고내역 상세보기 팝업, ,,operation06_popup02.html,완료,2018-05-15,2018-05-16,100%
109,운영,신고관리,신고자상세보기 팝업, ,,operation06_popup04.html,완료,2018-05-15,2018-05-16,100%
110,운영,앱 공지사항,리스트, ,,operation07_list.php,완료,2018-05-16,2018-05-17,100%
111,운영,앱 공지사항,등록, ,,operation07_reg.php,완료,2018-05-16,2018-05-17,100%
112,운영,앱 공지사항,등록,말머리 가이드 팝업,,operation07_guide_popup.html,완료,2018-05-16,2018-05-17,100%
113,운영,앱 공지사항,상세, ,,operation07_det.php,완료,2018-05-16,2018-05-17,100%
114,운영,PUSH 발송,리스트, ,,operation08_list.php,완료,2018-05-16,2018-05-18,100%
115,운영,PUSH 발송,PUSH발송 상세정보 팝업, ,,operation08_popup01.html,완료,2018-05-16,2018-05-18,100%
116,운영,PUSH 발송,안드로이드 PUSH 발송 팝업, ,,operation08_popup02.html,완료,2018-05-16,2018-05-18,100%
117,운영,SMS 발송,리스트, ,,operation09_list.php,완료,2018-05-18,2018-05-18,100%
118,운영,SMS 발송,SMS발송 상세정보 팝업, ,,operation09_popup01.html,완료,2018-05-18,2018-05-18,100%
119,운영,SMS 발송,SMS 발송 팝업, ,,operation09_popup02.html,완료,2018-05-18,2018-05-18,100%
120,운영,E-mail 발송,리스트, ,,operation10_list.php,완료,2018-05-18,2018-05-18,100%
121,운영,E-mail 발송,E-mail발송 상세정보 팝업,,,operation10_popup01.html,완료,2018-05-18,2018-05-18,100%
122,운영,E-mail 발송,E-mail발송 팝업,,,operation10_popup02.html,완료,2018-05-18,2018-05-18,100%
123,마케팅,이벤트 관리,리스트,,,marketing01_list.php,완료,2018-05-21,2018-05-25,100%
124,마케팅,이벤트 관리,댓글 팝업,,,marketing01_list_popup.html,완료,2018-05-21,2018-05-25,100%
125,마케팅,이벤트 관리,댓글참여형 등록,,,marketing01_write_01.php,완료,2018-05-21,2018-05-25,100%
126,마케팅,이벤트 관리,댓글참여형 상세,,,marketing01_detail_01.php,완료,2018-05-21,2018-05-25,100%
127,마케팅,이벤트 관리,응모형 등록,,,marketing01_write_02.php,완료,2018-05-21,2018-05-25,100%
128,마케팅,이벤트 관리,응모형 상세,,,marketing01_detail_02.php,완료,2018-05-21,2018-05-25,100%
129,마케팅,이벤트 관리,바로당첨형 등록,,,marketing01_write_03.php,완료,2018-05-21,2018-05-25,100%
130,마케팅,이벤트 관리,바로당첨형 상세,,,marketing01_detail_03.php,완료,2018-05-21,2018-05-25,100%
131,마케팅,이벤트 관리,선착순형 등록,,,marketing01_write_04.php,완료,2018-05-21,2018-05-25,100%
132,마케팅,이벤트 관리,선착순형 상세,,,marketing01_detail_04.php,완료,2018-05-21,2018-05-25,100%
133,마케팅,이벤트 관리,당첨자 추출 및 관리 팝업,댓글참여형,,marketing01_mng_popup01.html,완료,2018-05-21,2018-05-25,100%
134,마케팅,이벤트 관리,당첨자 추출 및 관리 팝업,응모형,,marketing01_mng_popup02.html,완료,2018-05-21,2018-05-25,100%
135,마케팅,이벤트 관리,당첨자 추출 및 관리 팝업,바로당첨형,,marketing01_mng_popup03.html,완료,2018-05-21,2018-05-25,100%
136,마케팅,이벤트 관리,당첨자 추출 및 관리 팝업,선착순형,,marketing01_mng_popup04.html,완료,2018-05-21,2018-05-25,100%
137,마케팅,이벤트 관리,재추출 팝업,,,marketing01_remng_popup.html,완료,2018-05-21,2018-05-25,100%
138,마케팅,이벤트 관리,당첨자 발표하기 팝업,,,marketing01_open_popup.html,완료,2018-05-21,2018-05-25,100%
139,마케팅,이벤트 관리,이벤트 포인트경품 자동지급관리 리스트,,,marketing01_reward_list.php,완료,2018-05-21,2018-05-25,100%
140,마케팅,메인 저격상품리스트 광고관리,리스트,,,marketing02_list01.php,완료,2018-05-21,2018-05-25,100%
141,마케팅,메인 저격상품리스트 광고관리,광고등록,,,marketing02_write01.php,완료,2018-05-21,2018-05-25,100%
142,마케팅,메인 저격상품리스트 광고관리,광고상세,,,marketing02_detail01.php,완료,2018-05-21,2018-05-25,100%
143,마케팅,메인 우리동네 광고관리,리스트,,,marketing02_list02.php,완료,2018-05-21,2018-05-25,100%
144,마케팅,메인 우리동네 광고관리,등록,,,marketing02_write02.php,완료,2018-05-21,2018-05-25,100%
145,마케팅,메인 우리동네 광고관리,상세,,,marketing02_detail02.php,완료,2018-05-21,2018-05-25,100%
146,마케팅,메인 마이태그 광고관리,리스트,,,marketing02_list03.php,완료,2018-05-21,2018-05-25,100%
147,마케팅,메인 마이태그 광고관리,등록,,,marketing02_write03.php,완료,2018-05-21,2018-05-25,100%
148,마케팅,메인 마이태그 광고관리,상세,,,marketing02_detail03.php,완료,2018-05-21,2018-05-25,100%
149,마케팅,알림리스트 광고관리,리스트,,,marketing02_list04.php,완료,2018-05-21,2018-05-25,100%
150,마케팅,알림리스트 광고관리,등록,,,marketing02_write04.php,완료,2018-05-21,2018-05-25,100%
151,마케팅,알림리스트 광고관리,상세,,,marketing02_detail04.php,완료,2018-05-21,2018-05-25,100%
152,마케팅,광고리스트 공통,성과확인 팝업,,,marketing03_popup01.html,완료,2018-05-21,2018-05-25,100%
153,마케팅,광고상세 카테고리선택 팝업,,,,marketing03_popup02.html,완료,2018-05-21,2018-05-25,100%
154,마케팅,광고상세 지역선택 팝업,,,,marketing03_popup03.html,완료,2018-05-21,2018-05-25,100%
155,마케팅,광고상세 스토어선택 팝업,,,,marketing03_popup04.html,완료,2018-05-21,2018-05-25,100%
156,마케팅,광고상세 상품선택 팝업,,,,marketing03_popup05.html,완료,2018-05-21,2018-05-25,100%
157,마케팅,광고상세 기획전선택 팝업,,,,marketing03_popup06.html,완료,2018-05-21,2018-05-25,100%
158,마케팅,상품보기 팝업,,,,marketing03_popup07.html,완료,2018-05-21,2018-05-25,100%
159,마케팅,광고영역 미리보기 팝업,,,,marketing03_popup08.html,완료,2018-05-21,2018-05-25,100%
160,서비스,포인트 통합 관리,포인트 상세정보,,,service10_popup.html,완료,2018-05-28,2018-06-01,100%
161,서비스,포인트 통합 관리,포인트 상세정보,포인트 차감,,service10_popup02.html,완료,2018-05-28,2018-06-01,100%
162,서비스,자동지급 포인트 관리,리스트,,,service11_list.php,완료,2018-05-28,2018-06-01,100%
163,서비스,금지 키워드 관리,리스트,,,service12_list.php,완료,2018-05-28,2018-06-01,100%
164,서비스,금지 키워드 관리,그룹관리 팝업,,,service12_popup01.html,완료,2018-05-28,2018-06-01,100%
165,서비스,금지 키워드 관리,키워드 등록 팝업,,,service12_popup02.html,완료,2018-05-28,2018-06-01,100%
166,서비스,금지 키워드 관리,엑셀 업로드 팝업,,,service12_popup03.html,완료,2018-05-28,2018-06-01,100%
167,고객센터,FAQ,리스트,,,servicecenter01_list.php,완료,2018-05-28,2018-06-01,100%
168,고객센터,FAQ,등록,,,servicecenter01_reg.php,완료,2018-05-28,2018-06-01,100%
169,고객센터,FAQ,상세,,,servicecenter01_det.php,완료,2018-05-28,2018-06-01,100%
170,고객센터,중고나라 이용안내,리스트,,,servicecenter02_list.php,완료,2018-05-28,2018-06-01,100%
171,고객센터,중고나라 이용안내,중고나라 이용안내 1depth 카테고리 관리,,,servicecenter02_popup.html,완료,2018-05-28,2018-06-01,100%
172,고객센터,중고나라 이용안내,이용안내 등록,,,servicecenter02_reg.php,완료,2018-05-28,2018-06-01,100%
173,고객센터,중고나라 이용안내,이용안내 상세,,,servicecenter02_det.php,완료,2018-05-28,2018-06-01,100%
174,고객센터,이용약관,리스트,,,servicecenter03_list.php,완료,2018-05-28,2018-06-01,100%
175,고객센터,이용약관,관리자 수정이력 팝업,,,servicecenter03_popup.html,완료,2018-05-28,2018-06-01,100%
176,고객센터,이용약관,등록,,,servicecenter03_reg.php,완료,2018-05-28,2018-06-01,100%
177,고객센터,이용약관,상세,,,servicecenter03_det.php,완료,2018-05-28,2018-06-01,100%
178,통계,종합통계,신규회원,,,statistics01.php,완료,2018-05-28,2018-06-01,100%
179,통계,종합통계,앱다운로드,,,statistics01.php,완료,2018-05-28,2018-06-01,100%
180,통계,종합통계,상품등록,,,statistics01.php,완료,2018-05-28,2018-06-01,100%
181,통계,종합통계,상품거래,,,statistics01.php,완료,2018-05-28,2018-06-01,100%
182,통계,종합통계,안전결제,,,statistics01.php,완료,2018-05-28,2018-06-01,100%
183,통계,종합통계,즉시송금,,,statistics01.php,완료,2018-05-28,2018-06-01,100%
184,통계,종합통계,방문자,,,statistics01.php,완료,2018-05-28,2018-06-01,100%
185,통계,종합통계,재방문 주기,,,statistics01.php,완료,2018-05-28,2018-06-01,100%
186,통계,종합통계,택배이용,,,statistics01.php,완료,2018-05-28,2018-06-01,100%
187,통계,종합통계,광고매출,,,statistics01.php,완료,2018-05-28,2018-06-01,100%
188,통계,종합통계,신고접수,,,statistics01.php,완료,2018-05-28,2018-06-01,100%
189,통계,종합통계,1:1문의접수,,,statistics01.php,완료,2018-05-28,2018-06-01,100%
190,통계,랭킹분석,키워드 랭킹,,,statistics02_01.php,완료,2018-05-28,2018-06-01,100%
191,통계,랭킹분석,키워드 랭킹,랭킹 상단 검색 기능에 따른 결과값 및 스크롤 정의,, - , - , - , - ,
192,통계,랭킹분석,카테고리 랭킹,,,statistics02_02.php,완료,2018-05-28,2018-06-01,100%
193,통계,랭킹분석,지역 랭킹,,,statistics02_03.php,완료,2018-05-28,2018-06-01,100%
194,통계,랭킹분석,지역 랭킹,동단위 검색 시 예시 ,, - , - , - , - ,
195,통계,랭킹분석,상품 랭킹,,,statistics02_04.php,완료,2018-05-28,2018-06-01,100%
196,통계,랭킹분석,회원/스토어 랭킹,,,statistics02_05.php,완료,2018-05-28,2018-06-01,100%
